Most important phishing n_grams
1074. &acc - freq: 29
1075. half - freq: 29
1076. 984a - freq: 29
1077. ytre - freq: 29
1078. he@/ - freq: 29
1079. e@/m - freq: 29
1080. /def - freq: 29
1081. /fr/ - freq: 29
1082. hp?r - freq: 29
1083. a91f - freq: 29
1084. micr - freq: 29
1085. /zo/ - freq: 29
1086. mp;w - freq: 29
1087. icro - freq: 29
1088. reer - freq: 29
1089. 6917 - freq: 29
1090. ity. - freq: 29
1091. 2691 - freq: 29
1092. %20s - freq: 29
1093. absa - freq: 29
1094. nked - freq: 29
1095. es/c - freq: 29
1096. eri. - freq: 29
1097. .1&f - freq: 29
1098. alfw - freq: 29
1099. @/ma - freq: 29
1100. p?ra - freq: 29
1101. aytr - freq: 29
1102. azon - freq: 29
1103. h.co - freq: 29
1104. 3822 - freq: 28
1105. om/o - freq: 28
1106. om.l - freq: 28
1107. fsar - freq: 28
1108. on=a - freq: 28
1109. open - freq: 28
1110. d.13 - freq: 28
1111. d.12 - freq: 28
1112. osof - freq: 28
1113. 8224 - freq: 28
1114. 2e98 - freq: 28
1115. ted. - freq: 28
1116. 84a9 - freq: 28
1117. m.lo - freq: 28
1118. ghfs - freq: 28
1119. 423f - freq: 28
1120. ca/0 - freq: 28
1121. tw.r - freq: 28
1122. 0000 - freq: 28
1123. ch=7 - freq: 28
1124. tyse - freq: 28
1125. le.a - freq: 28
1126. .uk/ - freq: 28
1127. uest - freq: 28
1128. cros - freq: 28
1129. hasr - freq: 28
1130. e984 - freq: 28
1131. w.ru - freq: 28
1132. hfsa - freq: 28
1133. /ass - freq: 28
1134. 1&em - freq: 28
1135. dbd2 - freq: 28
1136. /man - freq: 28
1137. s/ma - freq: 28
1138. ://k - freq: 28
1139. 4a91 - freq: 28
1140. /sun - freq: 28
1141. vali - freq: 28
1142. f62e - freq: 28
